family,config,proxy_score,proxy_Q_A,proxy_Q_B,S,Q_A,Q_B,Q_C,I_A,I_B,I_C,binding_A,binding_B,binding_C,expansion
VREx,"lam=100,warm=0.1",58.39666972353289,0.6657923494509697,0.5121973897133997,42.69377115571468,0.37507778800873326,0.491024005589505,0.4225416099658947,0.9057181030511856,0.8857962340116501,0.8415652364492416,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=100000,warm=0.1",51.56770514235123,0.6143246983994662,0.4328701451490898,42.51818838166809,0.5349962715324768,0.35277251412900995,0.40726656699554353,0.8159463554620743,0.652491569519043,0.6726849377155304,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=100000,warm=0.8",65.71554191652001,0.6548192273781787,0.6594999457595051,42.349347206158335,0.43661935849337596,0.3528990924872042,0.49293156830440754,0.9007899463176727,0.8961739987134933,0.6034214778337628,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",True
VREx,"lam=1000,warm=0.3",64.78745449155426,0.6736364101783936,0.6230978902081089,42.152822928618164,0.47304689119554455,0.35692958205510994,0.44360175569757854,0.9013824462890625,0.880015566945076,0.8378438353538513,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=100000,warm=0.3",46.52698298559781,0.443147512664184,0.4884965127588468,42.14146360870672,0.3758106108831579,0.350197459136304,0.5686523209124721,0.5152100473642349,0.6563511863350868,0.6957546025514603,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=100000,warm=0",42.879172755410565,0.4571812792420796,0.4021650797330187,41.85374902197438,0.49984131889614913,0.362145369089833,0.4050307603539685,0.8417847901582718,0.8463853597640991,0.7956359684467316,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
VREx,"lam=100,warm=0.5",59.76834679809119,0.6720468669962946,0.531548535438168,40.901588561502,0.3834961476020228,0.3960011384912144,0.45057084561474836,0.9059516191482544,0.9018696397542953,0.8386167287826538,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=100,warm=0.3",57.272044994906814,0.6458764028271083,0.5078505923952544,40.78283817335935,0.37967142307503965,0.4134419084883716,0.432125536122019,0.9069606512784958,0.899623230099678,0.8418315201997757,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=100,warm=0.5",58.6168104652404,0.6171056278577107,0.5567815806583695,39.64894386220249,0.4210055571771467,0.41019580113073084,0.36092405767141694,0.9026609808206558,0.8796939849853516,0.8406160771846771,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=100,warm=0.65",58.8348032502392,0.6387247773312338,0.5419445426804311,39.385790501538196,0.3985675376279929,0.41550452179829667,0.36892749371187383,0.9056971073150635,0.8873484581708908,0.8479683101177216,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
GroupDRO,"eta=1,warm=0.1",60.60787701989959,0.6248026081426135,0.5879160408403457,39.248165560329475,0.41600684933155435,0.4015945075844058,0.36188438401040157,0.9036760479211807,0.899055078625679,0.85824254155159,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=1000,warm=0.1",56.06098067623093,0.5273262863803255,0.595994099963001,39.069169436985874,0.44710529572280316,0.36982192940186975,0.36066173065058416,0.8244951814413071,0.6458829045295715,0.5673823952674866,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",False
VREx,"lam=10000,warm=0.1",57.46642715969875,0.5900198147440051,0.5597083636816141,38.832956442275396,0.4372369850507193,0.3991732646831697,0.3355235668325578,0.7617379352450371,0.825625091791153,0.845461368560791,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=1000,warm=0.1",57.28657873295758,0.5934892289632229,0.5529589995525783,38.72746352652953,0.40130392339586307,0.3547625243600093,0.40798671209354676,0.9025115072727203,0.8613416999578476,0.8494560420513153,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=4.472,warm=0.5",57.35611848576063,0.6565521314514506,0.50106064243215,38.38599601296864,0.3867931793370954,0.4178772563030737,0.3499378343900323,0.9056971073150635,0.8976984471082687,0.8651139587163925,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=1,warm=0.3",58.62357435005742,0.6031593526044404,0.5697869816221779,38.19096757494178,0.39737169878496337,0.39495494776680584,0.35492573678597855,0.9044545590877533,0.8985634297132492,0.8580022603273392,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=100,warm=0.1",58.31716543414874,0.5338260934211346,0.6370785966041032,38.11330951976458,0.3290391003583132,0.38176539808824417,0.4407434973046619,0.8661471754312515,0.8400695472955704,0.6787287043407559,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=100000,warm=0.1",52.512777144246506,0.48795617927866886,0.5651310262076737,37.91412948687666,0.42502007198122516,0.3700757251819366,0.3464999909483727,0.8092726320028305,0.6378295868635178,0.505937248468399,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",False
GroupDRO,"eta=0.1,warm=0.1",58.492384455162224,0.6026248775056661,0.5677427479283469,37.89707266758799,0.40265712742397064,0.3834543661502232,0.35250713786864535,0.9047120809555054,0.8875184953212738,0.856170192360878,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
